xcentre,ycentre,zcentre,recpe,ue
8615.0,25917.5,1132.5,12.0,2
8615.0,25902.5,1132.5,12.0,2
8605.0,25917.5,1132.5,12.0,2
8625.0,25902.5,1132.5,12.0,2
8625.0,25917.5,1132.5,12.0,2
8635.0,25902.5,1117.5,12.0,2
8635.0,25902.5,1132.5,12.0,2
8635.0,25917.5,1132.5,12.0,2
8645.0,25902.5,1132.5,12.0,2
8645.0,25902.5,1117.5,12.0,2
8655.0,25902.5,1117.5,12.0,2
8645.0,25917.5,1132.5,12.0,2
8655.0,25917.5,1132.5,12.0,2
8655.0,25902.5,1132.5,12.0,2
8665.0,25902.5,1132.5,12.0,2
8675.0,25902.5,1132.5,12.0,2
8665.0,25917.5,1132.5,12.0,2
8665.0,25902.5,1117.5,12.0,2
8675.0,25917.5,1132.5,12.0,2
8685.0,25917.5,1132.5,12.0,2
8685.0,25902.5,1132.5,12.0,2
8695.0,25902.5,1132.5,12.0,2
8695.0,25917.5,1132.5,12.0,2
8615.0,25932.5,1132.5,12.0,2
8635.0,25947.5,1132.5,12.0,2
8625.0,25932.5,1132.5,12.0,2
8635.0,25932.5,1132.5,12.0,2
8625.0,25947.5,1132.5,12.0,2
8655.0,25932.5,1132.5,12.0,2
8655.0,25947.5,1132.5,12.0,2
8645.0,25932.5,1132.5,12.0,2
8645.0,25947.5,1132.5,12.0,2
8665.0,25932.5,1132.5,12.0,2
8675.0,25932.5,1132.5,12.0,2
8665.0,25947.5,1132.5,12.0,2
8675.0,25947.5,1132.5,12.0,2
8685.0,25932.5,1132.5,12.0,2
8605.0,25677.5,1162.5,12.0,2
8615.0,25677.5,1162.5,12.0,2
8625.0,25677.5,1162.5,12.0,2
8625.0,25677.5,1147.5,12.0,2
8635.0,25662.5,1162.5,12.0,2
8635.0,25677.5,1147.5,12.0,2
8635.0,25677.5,1162.5,12.0,2
8625.0,25662.5,1162.5,12.0,2
8655.0,25662.5,1162.5,12.0,2
8655.0,25677.5,1147.5,12.0,2
8655.0,25677.5,1162.5,12.0,2
8645.0,25677.5,1162.5,12.0,2
8645.0,25677.5,1147.5,12.0,2
8645.0,25662.5,1162.5,12.0,2
8675.0,25677.5,1162.5,12.0,2
8675.0,25662.5,1162.5,12.0,2
8665.0,25677.5,1162.5,12.0,2
8665.0,25662.5,1162.5,12.0,2
8675.0,25677.5,1147.5,12.0,2
8665.0,25677.5,1147.5,12.0,2
8695.0,25677.5,1162.5,12.0,2
8685.0,25677.5,1162.5,12.0,2
8585.0,25707.5,1162.5,12.0,2
8595.0,25707.5,1162.5,12.0,2
8595.0,25692.5,1162.5,12.0,2
8615.0,25692.5,1162.5,12.0,2
8605.0,25692.5,1162.5,12.0,2
8605.0,25707.5,1147.5,12.0,2
8605.0,25707.5,1162.5,12.0,2
8615.0,25707.5,1147.5,12.0,2
8615.0,25707.5,1162.5,12.0,2
8615.0,25692.5,1147.5,12.0,2
8635.0,25707.5,1162.5,12.0,2
8625.0,25707.5,1162.5,12.0,2
8635.0,25692.5,1162.5,12.0,2
8625.0,25692.5,1147.5,12.0,2
8625.0,25692.5,1162.5,12.0,2
8635.0,25692.5,1147.5,12.0,2
8625.0,25707.5,1147.5,12.0,2
8635.0,25707.5,1147.5,12.0,2
8645.0,25707.5,1162.5,12.0,2
8645.0,25692.5,1162.5,12.0,2
8655.0,25707.5,1162.5,12.0,2
8645.0,25707.5,1147.5,12.0,2
8655.0,25692.5,1162.5,12.0,2
8645.0,25692.5,1147.5,12.0,2
8655.0,25707.5,1147.5,12.0,2
